,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
0,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
1,570306133677760513,neutral,1.0,,,Virgin America,,cairdin,,0,VirginAmerica What dhepburn say .,,2015-02-24 11:35:52 -0800,,Eastern Time (US & Canada)
2,570301130888122368,positive,0.3486,,0.0,Virgin America,,jnardino,,0,VirginAmerica plus 've add commercial experience ... tacky .,,2015-02-24 11:15:59 -0800,,Pacific Time (US & Canada)
3,570301083672813571,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,VirginAmerica I n't today ... Must mean I need take another trip !,,2015-02-24 11:15:48 -0800,Lets Play,Central Time (US & Canada)
4,570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,,jnardino,,0,VirginAmerica 's really aggressive blast obnoxious `` entertainment '' guest ' face & amp ; little recourse,,2015-02-24 11:15:36 -0800,,Pacific Time (US & Canada)
5,570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,,jnardino,,0,VirginAmerica 's really big bad thing,,2015-02-24 11:14:45 -0800,,Pacific Time (US & Canada)
6,570300767074181121,negative,1.0,Can't Tell,0.6842,Virgin America,,jnardino,,0,VirginAmerica seriously would pay $ 30 flight seat n't playing. 's really bad thing fly VA,,2015-02-24 11:14:33 -0800,,Pacific Time (US & Canada)
7,570300616901320704,positive,0.6745,,0.0,Virgin America,,cjmcginnis,,0,"VirginAmerica yes , nearly every time I fly VX âear wormâ wonât go away : )",,2015-02-24 11:13:57 -0800,San Francisco CA,Pacific Time (US & Canada)
8,570300248553349120,neutral,0.634,,,Virgin America,,pilot,,0,"VirginAmerica Really miss prime opportunity Men Without Hats parody , there. http : //t.co/mWpG7grEZP",,2015-02-24 11:12:29 -0800,Los Angeles,Pacific Time (US & Canada)
9,570299953286942721,positive,0.6559,,,Virgin America,,dhepburn,,0,"virginamerica Well , I didn'tâ¦but NOW I DO ! : -D",,2015-02-24 11:11:19 -0800,San Diego,Pacific Time (US & Canada)
10,570295459631263746,positive,1.0,,,Virgin America,,YupitsTate,,0,"VirginAmerica amazing , arrive hour early. You 're good .",,2015-02-24 10:53:27 -0800,Los Angeles,Eastern Time (US & Canada)
11,570294189143031808,neutral,0.6769,,0.0,Virgin America,,idk_but_youtube,,0,VirginAmerica know suicide second lead cause death among teen 10-24,,2015-02-24 10:48:24 -0800,1/1 loner squad,Eastern Time (US & Canada)
12,570289724453216256,positive,1.0,,,Virgin America,,HyperCamiLax,,0,VirginAmerica I & lt ; 3 pretty graphics. much good minimal iconography. : D,,2015-02-24 10:30:40 -0800,NYC,America/New_York
13,570289584061480960,positive,1.0,,,Virgin America,,HyperCamiLax,,0,VirginAmerica This great deal ! Already think 2nd trip Australia & amp ; I n't even go 1st trip yet ! ; p,,2015-02-24 10:30:06 -0800,NYC,America/New_York
14,570287408438120448,positive,0.6451,,,Virgin America,,mollanderson,,0,VirginAmerica virginmedia I 'm fly # fabulous # Seductive sky ! U take # stress away travel http : //t.co/ahlXHhKiyn,,2015-02-24 10:21:28 -0800,,Eastern Time (US & Canada)
15,570285904809598977,positive,1.0,,,Virgin America,,sjespers,,0,VirginAmerica Thanks !,,2015-02-24 10:15:29 -0800,"San Francisco, CA",Pacific Time (US & Canada)
16,570282469121007616,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,VirginAmerica SFO-PDX schedule still MIA .,,2015-02-24 10:01:50 -0800,"palo alto, ca",Pacific Time (US & Canada)
17,570277724385734656,positive,1.0,,,Virgin America,,ItzBrianHunty,,0,VirginAmerica So excite first cross country flight LAX MCO I 've hear nothing great thing Virgin America. # 29DaysToGo,,2015-02-24 09:42:59 -0800,west covina,Pacific Time (US & Canada)
18,570276917301137409,negative,1.0,Bad Flight,1.0,Virgin America,,heatherovieda,,0,VirginAmerica I fly NYC SFO last week could n't fully sit seat due two large gentleman either side me. HELP !,,2015-02-24 09:39:46 -0800,this place called NYC,Eastern Time (US & Canada)
