,index,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
0,2,570301130888122368,1,0.3486,,0.0,Virgin America,,jnardino,,0,VirginAmerica plus 've add commercial experience ... tacky .,,2015-02-24 11:15:59 -0800,,Pacific Time (US & Canada)
1,5,570300817074462722,0,1.0,Can't Tell,1.0,Virgin America,,jnardino,,0,VirginAmerica 's really big bad thing,,2015-02-24 11:14:45 -0800,,Pacific Time (US & Canada)
2,6,570300767074181121,0,1.0,Can't Tell,0.6842,Virgin America,,jnardino,,0,VirginAmerica seriously would pay $ 30 flight seat n't playing. 's really bad thing fly VA,,2015-02-24 11:14:33 -0800,,Pacific Time (US & Canada)
3,10,570295459631263746,1,1.0,,,Virgin America,,YupitsTate,,0,"VirginAmerica amazing , arrive hour early. You 're good .",,2015-02-24 10:53:27 -0800,Los Angeles,Eastern Time (US & Canada)
4,12,570289724453216256,1,1.0,,,Virgin America,,HyperCamiLax,,0,VirginAmerica I & lt ; 3 pretty graphics. much good minimal iconography. : D,,2015-02-24 10:30:40 -0800,NYC,America/New_York
5,13,570289584061480960,1,1.0,,,Virgin America,,HyperCamiLax,,0,VirginAmerica This great deal ! Already think 2nd trip Australia & amp ; I n't even go 1st trip yet ! ; p,,2015-02-24 10:30:06 -0800,NYC,America/New_York
6,15,570285904809598977,1,1.0,,,Virgin America,,sjespers,,0,VirginAmerica Thanks !,,2015-02-24 10:15:29 -0800,"San Francisco, CA",Pacific Time (US & Canada)
7,17,570277724385734656,1,1.0,,,Virgin America,,ItzBrianHunty,,0,VirginAmerica So excite first cross country flight LAX MCO I 've hear nothing great thing Virgin America. # 29DaysToGo,,2015-02-24 09:42:59 -0800,west covina,Pacific Time (US & Canada)
8,19,570270684619923457,1,1.0,,,Virgin America,,thebrandiray,,0,I â¤ï¸ fly VirginAmerica. âºï¸ð,,2015-02-24 09:15:00 -0800,Somewhere celebrating life. ,Atlantic Time (Canada)
9,20,570267956648792064,1,1.0,,,Virgin America,,JNLpierce,,0,VirginAmerica know would amazingly awesome ? BOS-FLL PLEASE ! ! ! ! ! ! ! I want fly .,,2015-02-24 09:04:10 -0800,Boston | Waltham,Quito
10,22,570264145116819457,1,1.0,,,Virgin America,,DT_Les,,0,VirginAmerica I love graphic. http : //t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",2015-02-24 08:49:01 -0800,,
11,23,570259420287868928,1,1.0,,,Virgin America,,ElvinaBeck,,0,VirginAmerica I love hipster innovation. You feel good brand .,,2015-02-24 08:30:15 -0800,Los Angeles,Pacific Time (US & Canada)
12,25,570256553502068736,0,1.0,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,0,VirginAmerica guy mess seating.. I reserve seat friend guy give seat away ... ð¡ I want free internet,,2015-02-24 08:18:51 -0800,714,Mountain Time (US & Canada)
13,26,570249102404923392,0,1.0,Customer Service Issue,1.0,Virgin America,,Leora13,,0,VirginAmerica status match program. I apply 's three weeks. Called emailed response .,,2015-02-24 07:49:15 -0800,,
14,29,570207886493782019,0,1.0,Bad Flight,1.0,Virgin America,,blackjackpro911,,0,VirginAmerica amazing ca n't get cold air vents. # VX358 # noair # worstflightever # roasted # SFOtoBOS,"[42.361016, -71.02000488]",2015-02-24 05:05:28 -0800,"San Mateo, CA & Las Vegas, NV",
15,31,570114021854212096,0,1.0,Flight Booking Problems,1.0,Virgin America,,jordanpichler,,0,"VirginAmerica hi ! I bked cool birthday trip , ca n't add elevate no. cause enter middle name Flight Booking Problems ð¢",,2015-02-23 22:52:29 -0800,,Vienna
16,33,570088404156698625,0,1.0,Customer Service Issue,1.0,Virgin America,,Cuschoolie1,,0,"VirginAmerica help , leave expensive headphone flight 89 IAD LAX today. Seat 2A. No one answer L & amp ; F number LAX !","[33.94209449, -118.40410103]",2015-02-23 21:10:41 -0800,Washington DC,Quito
17,34,570084582780899328,0,1.0,Customer Service Issue,1.0,Virgin America,,amanduhmccarty,,0,"VirginAmerica await return phone call , would prefer use online self-service option : (",,2015-02-23 20:55:30 -0800,,Pacific Time (US & Canada)
18,35,570076792993611776,1,1.0,,,Virgin America,,NorthTxHomeTeam,,0,VirginAmerica great news ! America could start flight Hawaii end year http : //t.co/r8p2Zy3fe4 via Pacificbiznews,"[33.2145038, -96.9321504]",2015-02-23 20:24:33 -0800,Texas,Central Time (US & Canada)
19,37,570051381534396416,1,1.0,,,Virgin America,,Nicsplace,,0,VirginAmerica Moodlighting way fly ! Best experience EVER ! Cool calming. ðâ # MoodlitMonday,,2015-02-23 18:43:35 -0800,Central Texas,
20,38,570045393565691904,1,1.0,,,Virgin America,,Nicsplace,,0,"VirginAmerica freddieawards Done do ! Best airline around , hand !",,2015-02-23 18:19:47 -0800,Central Texas,
21,40,570035876845084672,0,1.0,Customer Service Issue,1.0,Virgin America,,DannyDouglass,,0,VirginAmerica Your chat support work site : http : //t.co/vhp2GtDWPk,,2015-02-23 17:41:58 -0800,"San Francisco, CA",Pacific Time (US & Canada)
22,41,570033593394667521,1,0.6639,,,Virgin America,,jamesferrandini,,0,"VirginAmerica View downtown Los Angeles , Hollywood Sign , beyond rain mountain ! http : //t.co/Dw5nf0ibtr",,2015-02-23 17:32:54 -0800,,
23,42,570025482344898560,0,0.6688,Flight Booking Problems,0.6688,Virgin America,,will_lenzenjr,,0,"VirginAmerica Hey , first time flyer next week - excited ! But I 'm hard time get flight add Elevate account. Help ?",,2015-02-23 17:00:40 -0800,Iowa City,Central Time (US & Canada)
24,46,570012257549070337,1,1.0,,,Virgin America,,arieldaie,,0,VirginAmerica I 'm # elevategold good reason : rock ! !,,2015-02-23 16:08:07 -0800,Los Angeles,
25,48,570010571707256832,1,1.0,,,Virgin America,,ChelseaPoe666,,0,VirginAmerica wow blow mind,,2015-02-23 16:01:25 -0800,Oakland via Midwest ,Atlantic Time (Canada)
