,index,Topic,Sentiment,TweetId,TweetDate,TweetText
0,1,apple,1,126415614616154112,Tue Oct 18 21:53:25 +0000 2011,Now Apple get swype iphone crack. Iphone
1,2,apple,1,126404574230740992,Tue Oct 18 21:09:33 +0000 2011,Apple add carrier support iPhone 4S ( announce )
2,3,apple,1,126402758403305474,Tue Oct 18 21:02:20 +0000 2011,Hilarious youtube video - guy duet apple 's Siri. Pretty much sum love affair ! http : //t.co/8ExbnQjY
3,4,apple,1,126397179614068736,Tue Oct 18 20:40:10 +0000 2011,RIM make easy switch Apple iPhone. See ya !
4,6,apple,1,126394830791254016,Tue Oct 18 20:30:50 +0000 2011,"I 'm current Blackberry user , little bit disappointed ! Should I move Android Apple iphone"
5,7,apple,1,126379685453119488,Tue Oct 18 19:30:39 +0000 2011,The 16 strange thing Siri say far. I SOOO glad Apple give Siri sense humor ! http : //t.co/TWAeUDBp via HappyPlace
6,8,apple,1,126377656416612353,Tue Oct 18 19:22:35 +0000 2011,Great close & personal event Apple tonight Regent St store !
7,9,apple,1,126373779483004928,Tue Oct 18 19:07:11 +0000 2011,From company experience best customer service aside zappos apple ?
8,10,apple,1,126366353757179904,Tue Oct 18 18:37:41 +0000 2011,"Just apply job Apple , hope call lol"
9,11,apple,1,126366123368267776,Tue Oct 18 18:36:46 +0000 2011,RT JamaicanIdler : Lmao I think apple onto something magical ! I DYING ! ! ! haha. Siri suggest find whore h ...
10,12,apple,1,126365858481188864,Tue Oct 18 18:35:43 +0000 2011,Lmao I think apple onto something magical ! I DYING ! ! ! haha. Siri suggest find whore hide body lolol
11,13,apple,1,126360935509135362,Tue Oct 18 18:16:09 +0000 2011,"RT PhillipRowntree : Just register apple developer ... Here 's hop I actually ... Any help , greatly appreciate !"
12,16,apple,1,126357982685569024,Tue Oct 18 18:04:25 +0000 2011,ä½ å¥½ ! Currently learn Mandarin upcoming trip Hong Kong. I get ta hand Apple iPhones & uber useful flashcard apps îî
13,17,apple,1,126352268705538048,Tue Oct 18 17:41:43 +0000 2011,"Come dark side ð±â gretcheneclark : Hey apple , send free iPhone , I publicly ceremoniously burn # BlackBerry.â"
14,18,apple,1,126350302113824769,Tue Oct 18 17:33:54 +0000 2011,"Hey apple , send free iPhone ( version ) , I publicly ceremoniously burn # BlackBerry ."
15,19,apple,1,126349695676203009,Tue Oct 18 17:31:29 +0000 2011,Thank apple Find My Mac - locate wipe steal Air. # smallvictory # thievingbastards
16,20,apple,1,126342268603998208,Tue Oct 18 17:01:58 +0000 2011,"Thanks Apple Covent Garden # GeniusBar replace MacBook keyboard/cracked wristpad lunch break today , warranty ."
17,23,apple,1,126323785145126912,Tue Oct 18 15:48:32 +0000 2011,apple..good ipad
18,24,apple,1,126322063332999169,Tue Oct 18 15:41:41 +0000 2011,apple siri efffing amazing ! !
19,25,apple,1,126319186141130752,Tue Oct 18 15:30:15 +0000 2011,Amazing new Apple iOs 5 feature. http : //t.co/jatFVfpM
20,26,apple,1,126318009647235072,Tue Oct 18 15:25:35 +0000 2011,"RT TripLingo : We 're one `` Featured Education Apps '' Apple **Website** today , sweet ! http : //t.co/0yWvbe1Z"
21,27,apple,1,126315223060709376,Tue Oct 18 15:14:30 +0000 2011,"We 're one `` Featured Education Apps '' Apple **Website** today , sweet ! http : //t.co/0yWvbe1Z"
22,29,apple,1,126314687116750849,Tue Oct 18 15:12:22 +0000 2011,We unexpected workshop # iPhone4S apple yesterday get awesome amount info # notjustaboutthephone gamerchik16
23,30,apple,1,126312877916307458,Tue Oct 18 15:05:11 +0000 2011,& lt ; 3 # ios5 apple
24,31,apple,1,126311981564178432,Tue Oct 18 15:01:37 +0000 2011,-- -Â» RT Apple No question bro. RT AintEeenTrippin : Should I get dis iPhone EVO 3D ?
25,32,apple,1,126307801046847488,Tue Oct 18 14:45:01 +0000 2011,RT imightbewrong : I 'm OVER people bitch # iPhone4S ... I think 's smart phone I 've ever I 'm happy. : ...
26,34,apple,1,126301956951117826,Tue Oct 18 14:21:47 +0000 2011,Twitter CEO point Apple 'corporate mentor ' iOS signups triple http : //t.co/GCY8iphN
27,37,apple,1,126263834968211456,Tue Oct 18 11:50:18 +0000 2011,NYTimes : Coach Wants See You. And Bring Your iPad. http : //t.co/J2FTiEnG # iPad apple set red 42 red 42 hut hut NFL wish I # iPad
28,38,apple,1,126256230397259776,Tue Oct 18 11:20:05 +0000 2011,apple jilive DanielPink : Apple sell 4 million iPhone 4S unit first weekend ... Steve Jobs brilliance live ever ! # iphone # RVA
29,39,apple,1,126213333123743744,Tue Oct 18 08:29:38 +0000 2011,blackberry like # Titanic seem everyone run apple # iPhone life raft wo n't enough everyone !
30,40,apple,1,126195522691280896,Tue Oct 18 07:18:51 +0000 2011,bkad5161 apologize apple ; )
31,42,apple,1,126180209501286400,Tue Oct 18 06:18:01 +0000 2011,Lmfao look argument I Siri ! ! ijustine apple http : //t.co/D4VjL7SI
32,43,apple,1,126164430546403328,Tue Oct 18 05:15:18 +0000 2011,Incredible : 4 million iPhone 4Ss 3 days. 135 % good iPhone 4 http : //t.co/1FMJxTMM apple # iphone4s
33,44,apple,1,126148685737361408,Tue Oct 18 04:12:45 +0000 2011,Save # HP 's unwanted OS ! Help buy # iPhone ! I see light ! # lol http : //t.co/8gUP9Acz # backchannel apple
34,45,apple,1,126140794078892033,Tue Oct 18 03:41:23 +0000 2011,Well apple fixed # ios5 battery drain problem replacement iPhone 4 -- 's work like champ
35,46,apple,1,126134400466419712,Tue Oct 18 03:15:59 +0000 2011,Currently order BRAND NEW MACBOOK PRO ! ! ! Bahhh ... MacBook 5 year old. I 'll miss it. But 's time. cc : Apple -
36,47,apple,1,126130991365500928,Tue Oct 18 03:02:26 +0000 2011,blessed. apple
37,49,apple,1,126116614495154176,Tue Oct 18 02:05:18 +0000 2011,Well least apple store amaze call wait music ! # need4s
38,50,apple,1,126112836219973632,Tue Oct 18 01:50:17 +0000 2011,# sweet ... # apple replace glass # probono. thank apple
39,51,apple,1,126107965991297024,Tue Oct 18 01:30:56 +0000 2011,Not Bad ! Apple Sells Over 4 Million # IPhones Debut Weekend - Bloomberg http : //t.co/AVSl3ygU - # smartphone # sm RT VinodRad
40,52,apple,1,126104732426186752,Tue Oct 18 01:18:05 +0000 2011,"love new technology apple iPhone 4 , mac air iCloud unreal # technology"
41,53,apple,1,126097426493878272,Tue Oct 18 00:49:03 +0000 2011,I 'm love new IOS5 update : ) apple
42,54,apple,1,126095744531832832,Tue Oct 18 00:42:22 +0000 2011,Another mention Apple Store : http : //t.co/fiIOApKt - RT floridamike Once get great customer service apple store ...
43,55,apple,1,126084907343691776,Mon Oct 17 23:59:19 +0000 2011,Time go get iPhone 4s. Looking forward stick man longer pay texts. Thanks apple .
44,56,apple,1,126079414986485761,Mon Oct 17 23:37:29 +0000 2011,hey apple I hate computer need # mack wan na send free one .
45,57,apple,1,126076743613284354,Mon Oct 17 23:26:52 +0000 2011,Thank apple. My new gf ( iphone4s ) great ! She everything !
46,58,apple,1,126076238375817216,Mon Oct 17 23:24:52 +0000 2011,# iCloud set flawless work like champ ! To Cloud Apple
47,59,apple,1,126075534894571520,Mon Oct 17 23:22:04 +0000 2011,Wisconsin_Mommy Apple I 'd totally email company ... I always get great service Apple store !
48,60,apple,1,126064519943426048,Mon Oct 17 22:38:18 +0000 2011,apple love new IOS5 upgrade iPhone !
49,61,apple,1,126063569660936193,Mon Oct 17 22:34:31 +0000 2011,The nice apple tech support guy fix iTouch =D
50,62,apple,1,126063358037340161,Mon Oct 17 22:33:41 +0000 2011,Once get great customer service apple store millenia mall .
51,64,apple,1,126059399319003136,Mon Oct 17 22:17:57 +0000 2011,I love apple imac even though I n't see hubby 3 day ! # geek
52,66,apple,1,126049183865114624,Mon Oct 17 21:37:21 +0000 2011,So THANKFUL incredible people apple go beyond offer replace water-damaged Macbook Pro ! ! ! Wow !
53,67,apple,1,126040352237961217,Mon Oct 17 21:02:16 +0000 2011,New macbook sick apple
54,68,apple,1,126040074595999746,Mon Oct 17 21:01:10 +0000 2011,Play man. Loving camera # iphone4s. Well do apple # fb http : //t.co/tmdFqRe1
55,69,apple,1,126034495991328768,Mon Oct 17 20:39:00 +0000 2011,So yeah ... apple # iOS5 # readinglists change life. # nowicanspendevenmoretimeonmyphone .
56,70,apple,1,126026756623831041,Mon Oct 17 20:08:14 +0000 2011,Apple Safari Reader own worldwide web
57,71,apple,1,126019393460244481,Mon Oct 17 19:38:59 +0000 2011,I love apple service . My case crack 3x I go hand case I walk
58,72,apple,1,126015087386431488,Mon Oct 17 19:21:52 +0000 2011,# 10twitterpeopleiwouldliketomeet coollike TheGadgetShow thelittleappkid Jon4Lakers BenRubery Apple twitter FXhomeHitFilm ( -2 )
59,73,apple,1,126009748020658177,Mon Oct 17 19:00:39 +0000 2011,Said lay next 4 year apple.Jobs last iPhone 2012 iPhone4S. iPhone ( 4G/5 ) 2012 magical ! http : //t.co/DxxklUBp
60,74,apple,1,126008369562652672,Mon Oct 17 18:55:11 +0000 2011,"Kind excited. On way last class right go Apple store , buy # MacOSC Snow Leopard Lion : - )"
61,75,apple,1,126002597063696384,Mon Oct 17 18:32:14 +0000 2011,use blackberry 4-5yrs .. disruption lose gig thx service im move apple # iphone
62,76,apple,1,125999676972470272,Mon Oct 17 18:20:38 +0000 2011,"Apple sell 4 million iPhones 3 day apple keep , well ! http : //t.co/ZZc6bE0w"
63,77,apple,1,125995158679461888,Mon Oct 17 18:02:41 +0000 2011,Yessss ! I 'm lovin iPhone update especially slide bar top screen = ) good job Apple .
64,78,apple,1,125978568726560768,Mon Oct 17 16:56:46 +0000 2011,"4 million weekend , 16 # iPhone4S per second. This madness ? ! , Apple ! ! !"
65,79,apple,1,125974505385500672,Mon Oct 17 16:40:37 +0000 2011,. apple get me. I 'm invested. MacBook Pro next year. Time get sell # android gear
66,80,apple,1,125960325437722624,Mon Oct 17 15:44:16 +0000 2011,iancollinsuk apple I like ... !
67,82,apple,1,125947912306954240,Mon Oct 17 14:54:56 +0000 2011,KostaTsetsekas apple Putting wash kind equivalent `` Will blend ? '' Glad hear 's still alive .
68,83,apple,1,125947232359948288,Mon Oct 17 14:52:14 +0000 2011,Laundering Ari 's iPhone fine moment. But dry bag ( organic : - ) rice 4 day boot ! ! ! ! ! ! ! ! ! ! ! apple
69,84,apple,1,125943290288803841,Mon Oct 17 14:36:34 +0000 2011,"Bravo , Apple ! http : //t.co/BgoTzj7K"
70,85,apple,1,125940394566483968,Mon Oct 17 14:25:04 +0000 2011,"God Bless YouTube , apple # appletv & bad as system. LOVING # PrincessOfChina. GB coldplay & rihanna : )"
71,87,apple,1,125924446430183425,Mon Oct 17 13:21:42 +0000 2011,Thank Apple iOS 5 email pop lock screen open unlocking .
72,89,apple,1,125909565031198720,Mon Oct 17 12:22:34 +0000 2011,This good iPhone VERY well today. Thanks god apple .
73,90,apple,1,125902301931126785,Mon Oct 17 11:53:42 +0000 2011,RT MN2NOVA : Love ios5 Easter eggs. Pull middle top bottom see pull down. Awesome little feature ! # ios5 apple
74,91,apple,1,125901202591461376,Mon Oct 17 11:49:20 +0000 2011,Love ios5 Easter eggs. Pull middle top bottom see pull down. Awesome little feature ! # ios5 apple
75,93,apple,1,125898611572740097,Mon Oct 17 11:39:02 +0000 2011,Updated iOS start use cloud services. Pretty bad as apple # iPhone 3GS still champ .
76,94,apple,1,125850288488841217,Mon Oct 17 08:27:01 +0000 2011,"Gone run , beautiful morning , man I love iOS 5 apple , # iPhone"
77,95,apple,1,125840039031738368,Mon Oct 17 07:46:17 +0000 2011,apple simply best .
78,97,apple,1,125728717942161408,Mon Oct 17 00:23:56 +0000 2011,"Day305 , I 'm thankful great customer service receive today Apple via phone CS , new phone way # 365daysofgratefulness"
79,98,apple,1,125727629012770816,Mon Oct 17 00:19:37 +0000 2011,S/O apple replace phone freeî
80,100,apple,1,125717622728818688,Sun Oct 16 23:39:51 +0000 2011,alexlindsay My wife upgrade iPhone 4. I think Siri alone worth upgrade. Looking forward Apple continue enhance Siri .
81,101,apple,1,125714253452812288,Sun Oct 16 23:26:28 +0000 2011,RT tomkeene Thx instagram Thx apple # hypo # D-76 # tri-x http : //t.co/BPPJwncp
82,102,apple,1,125713935344214016,Sun Oct 16 23:25:12 +0000 2011,SteveJobs honor tonite Apple ... A truly great loss world.He miss
83,103,apple,1,125712433087123456,Sun Oct 16 23:19:14 +0000 2011,Thx instagram Thx apple # hypo # D-76 # tri-x http : //t.co/D7EeJHBT
84,104,apple,1,125708639607599104,Sun Oct 16 23:04:09 +0000 2011,Loving new # iPhone4S thanks apple # ios5
85,105,apple,1,125706813583798274,Sun Oct 16 22:56:54 +0000 2011,love this. much. thank apple. http : //t.co/Ui8lOEzX
86,106,apple,1,125701161926930433,Sun Oct 16 22:34:27 +0000 2011,apple iPhone 4 great # genius
87,107,apple,1,125699573799845888,Sun Oct 16 22:28:08 +0000 2011,apple Cards app notifies card I send arrive local post office deliver today ... Sunday. Truly # magic .
88,108,apple,1,125688922410975232,Sun Oct 16 21:45:48 +0000 2011,Love new I0S5 Apple updates. Just I think ca n't get good somehow simplifies life more. That 's right-it 's Apple .
89,109,apple,1,125681742760771584,Sun Oct 16 21:17:17 +0000 2011,apple Siri amazing
90,110,apple,1,125680049478316032,Sun Oct 16 21:10:33 +0000 2011,rygurl need apple iphone4S Siri !
91,111,apple,1,125677424565424128,Sun Oct 16 21:00:07 +0000 2011,"Meet # Siri , new iPhone butler. Click link amaze : http : //t.co/lvfFdCEL Apple"
92,112,apple,1,125673004511412224,Sun Oct 16 20:42:33 +0000 2011,"man apple store schaumburg , whoop ! ! ! ! ð"
93,114,apple,1,125664375364255744,Sun Oct 16 20:08:17 +0000 2011,I â¥ Apple http : //t.co/a8on3IAa
94,115,apple,1,125662399217930240,Sun Oct 16 20:00:25 +0000 2011,apple get new iOS5 upgrade iMessage ... good luck survive BlackBerry
95,116,apple,1,125652668080336896,Sun Oct 16 19:21:45 +0000 2011,Loving # iOS5 ! ! # awesome Apple
96,117,apple,1,125648027045199873,Sun Oct 16 19:03:18 +0000 2011,"RT MattyRiesz : kathrynyee You right , iPhone must have. # addict { WELCOME TO THE APPLE CLUB }"
97,118,apple,1,125645258003464192,Sun Oct 16 18:52:18 +0000 2011,Thank apple innovations. Exhibit A : Guy play Facetime instead watch game sport bar. http : //t.co/oU7K39ge
98,119,apple,1,125643107260829697,Sun Oct 16 18:43:45 +0000 2011,blackberry boo hiss ! ... ... ... ... apple wuhu ! ! ! ! ! ! ! ! When berry power technology actually work ? ?
99,120,apple,1,125633677597229056,Sun Oct 16 18:06:17 +0000 2011,apple far best iPod first time iPhone ever ... . Good job guy
100,121,apple,1,125633065757310976,Sun Oct 16 18:03:51 +0000 2011,Thank Steve apple store 5th av. http : //t.co/nSAisriP
101,123,apple,1,125623745284018176,Sun Oct 16 17:26:49 +0000 2011,"Apple iOS 5 sweet ! Notifications , phone search cover mail , wifi sync , iCloud backup integrate Twitter well do ."
102,124,apple,1,125618466353983488,Sun Oct 16 17:05:50 +0000 2011,RT katebetts : Another great James Stewart story today 's NY Times importance architecture apple retail success http : //t. ...
103,125,apple,1,125610372727193601,Sun Oct 16 16:33:41 +0000 2011,Another great James Stewart story today 's NY Times importance architecture apple retail success http : //t.co/Kniz452s
104,126,apple,1,125608381431025664,Sun Oct 16 16:25:47 +0000 2011,I & lt ; 3 apple http : //t.co/ondXWpEr
105,127,apple,1,125596541028282369,Sun Oct 16 15:38:43 +0000 2011,Welcome twitter world MarkStuver. This due # iOS5 apple thanks guy .
106,128,apple,1,125585606100267008,Sun Oct 16 14:55:16 +0000 2011,Impressive service apple genius bar metro centre. Power cable replace free n book screen replacement free : - D
107,130,apple,1,125561950376701952,Sun Oct 16 13:21:16 +0000 2011,nice guy apple store replace phone gratis I show hairline crack screen. thanks apple
108,132,apple,1,125547297072357376,Sun Oct 16 12:23:02 +0000 2011,It would take 15 min write # Blackberry. Thank u Apple 4 convert show grass greener !
109,133,apple,1,125539788546781185,Sun Oct 16 11:53:12 +0000 2011,RT herahussain : RickySinghPT get new backside eye phone ! V impress apple
110,134,apple,1,125537993942515712,Sun Oct 16 11:46:04 +0000 2011,RickySinghPT get new backside eye phone ! V impress apple
111,136,apple,1,125524107386302465,Sun Oct 16 10:50:53 +0000 2011,Thank apple make iPad 2 feel like new new iOS 5 !
112,137,apple,1,125523414298533888,Sun Oct 16 10:48:08 +0000 2011,"_ibertaddigital.tv/ iPad briliant SteveJobs produck , http : //t.co/00ohfLY6 Apple present ... http : //t.co/DBbWSDpx"
113,138,apple,1,125501576952553472,Sun Oct 16 09:21:22 +0000 2011,Using awsome iPad ... I love it. I love MacBook iPod. It 's amazing ! I love apple
114,140,apple,1,125495491701125120,Sun Oct 16 08:57:11 +0000 2011,New iOS 5 update THE BEST. iloveyou apple
115,141,apple,1,125459338524499969,Sun Oct 16 06:33:31 +0000 2011,"Finally get iPhone 4S , thanks Apple. Stupid att. Learned lesson ."
116,142,apple,1,125455260801179648,Sun Oct 16 06:17:19 +0000 2011,"I absolutely love iPhone 4S. Thank , Steve apple ."
117,143,apple,1,125423290767507456,Sun Oct 16 04:10:17 +0000 2011,apple - invented product actually get brother call parent get 's going. Amazing. # siri # ipod4s
118,144,apple,1,125416879035658240,Sun Oct 16 03:44:48 +0000 2011,"dammit , listen siri make want upgrade. well play apple ."
119,145,apple,1,125407532893224962,Sun Oct 16 03:07:40 +0000 2011,"Create new folder within photo album # iOS5 , finally ! ! Thanks Apple , 's thorn side while. # newfeature"
120,146,apple,1,125402636764712960,Sun Oct 16 02:48:13 +0000 2011,Video card Kimaris workstation die six months. So long hp. Hello apple .
121,147,apple,1,125402412147146752,Sun Oct 16 02:47:19 +0000 2011,Blackberry & Facebook U R really make throw Blackberry trash get Apple iPhone ! Facebook upload issue !
122,148,apple,1,125393816470568961,Sun Oct 16 02:13:10 +0000 2011,# iOS5 update submit apple ! Thanks support !
123,149,apple,1,125356807626559488,Sat Oct 15 23:46:06 +0000 2011,Awesome service apple store pc. Thanks chris !
124,150,apple,1,125343429289984000,Sat Oct 15 22:52:56 +0000 2011,RT To1ne : . apple thanks fix ... http : //t.co/wTj1ogDO
125,151,apple,1,125338216411828224,Sat Oct 15 22:32:14 +0000 2011,I crazy # iOS5 . The photo crop best ! apple
126,152,apple,1,125333598197911552,Sat Oct 15 22:13:53 +0000 2011,. apple thanks fix ... http : //t.co/wTj1ogDO
127,153,apple,1,125330595302744064,Sat Oct 15 22:01:57 +0000 2011,Hell yes ! ! ! Got contact back ! ! Thanks apple
