,Sentiment,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
795,1,9655,1646,182,50,80,5078,628,2106,2043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,0,2765,54320,4105,424,561,19,746,899,39,1,288,84,3485,597,426,415,3485,0,0,0,0,0,0,0,0
382,0,213,1,4,322,746,224,3135,931,567,1022,2322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,0,2,15300,126,242,3249,1672,393,3822,1060,22425,629,12797,190,4757,2641,0,0,0,0,0,0,0,0,0,0
422,1,28095,3,1599,1315,712,1329,1410,5032,3728,712,683,460,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,110,746,2,19,1948,6532,331,50,1,931,142,846,516,101,130,18,875,709,0,0,0,0,0,0,0
804,1,1,2343,124,4,50,177,192,321,56,950,188,25,615,11,2,0,0,0,0,0,0,0,0,0,0
136,0,2765,1,81,721,746,237,5926,2426,4105,39,288,1,4962,140,3530,424,222,0,0,0,0,0,0,0,0
670,0,2641,1,846,899,674,1829,138,317,393,38,3598,14,441,696,1,0,0,0,0,0,0,0,0,0,0
777,1,235,39,50,931,1183,404,1772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,2235,1,508,2691,167,62,55,111,180,1655,899,71,101,2,7,746,674,433,0,0,0,0,0,0,0
344,0,1118,66,9,1794,456,746,302,82,2,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,1,248,156,9,1,53,28,511,712,98912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,383,1,1059,109,2,39922,1,1082,215,4,73955,3485,746,1,0,0,0,0,0,0,0,0,0,0,0
44,1,110,746,2,99,408,40,10804,132,41,267,296,22,0,0,0,0,0,0,0,0,0,0,0,0,0
404,1,339,10113,2101,7205,2599,8539,1527,80,23328,1008,7816,2,7,48,271,18,712,0,0,0,0,0,0,0,0
210,0,2,7,859,7955,64364,1,798,11644,2381,4995,746,2783,112,126,10148,17,1,0,0,0,0,0,0,0,0
428,1,7763,6555,28738,1,6935,746,302,111,9070,592,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,1,33,4,65,495,596,1690,14,441,696,1,4869,712,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,746,200,22877,69,1792,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,239,785,527,746,66357,64,404,1347,1448,1,5459,3075,8213,0,0,0,0,0,0,0,0,0,0,0,0
