,Sentiment,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
805,1,23880,11365,820,1644,3730,15001,222,28650,5094,1644,15001,8873,0,0,0,0,0,0,0,0,0,0,0,0,0
1820,1,12652,16757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3617,1,1068,21772,29968,2293,37320,31115,4221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2685,1,419,17359,1,1,1,81840,33772,1,1,3294,1,1,44716,1,0,0,0,0,0,0,0,0,0,0,0
33,1,42083,1,390,746,567,1466,1789,66,1,1859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2344,1,1704,1631,11170,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2379,0,1,541,1363,7397,65,1363,7859,216,5536,4724,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3077,0,23652,952,20,190,300,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410,1,5376,104,114,203,3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1,474,55,50496,16749,1,2216,2121,1593,7059,7654,5920,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2894,1,1,86,104,40,27,9330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,1,3622,1943,1877,21428,29207,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2743,1,198,42083,1328,2218,38,5540,16956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4568,0,38040,9007,846,691,203,656,7879,12025,245,1,27817,14,441,696,1,0,0,0,0,0,0,0,0,0,0
4084,1,285,4715,1223,1146,4285,142,54360,1,92,1257,1,14,441,696,1,0,0,0,0,0,0,0,0,0,0
598,1,661,16749,8973,6957,1,224,6141,1345,38,7924,10598,7487,1367,7487,4697,0,0,0,0,0,0,0,0,0,0
4409,1,38040,9007,353,1318,1,15744,2649,404,1,27817,14168,14,441,696,1,0,0,0,0,0,0,0,0,0,0
1068,1,42083,160,24685,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073,1,1,59,114,5293,225,178,5094,14475,16651,498,1463,111,1046,827,63134,8,0,0,0,0,0,0,0,0,0
3729,0,1,1576,1,2,7,541,27763,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1,7494,2088,1,2012,48,571,1,15,82,1,178,419,0,0,0,0,0,0,0,0,0,0,0,0,0
3604,0,4458,875,1,23,1483,15872,425,1543,1367,4852,846,2003,509,1993,32644,16855,6301,520,491,11546,0,0,0,0,0
69,1,1,53,9,498,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,0,62871,135,209,25437,1859,3227,7690,2852,1552,2043,9152,387,1954,7690,0,0,0,0,0,0,0,0,0,0,0
926,1,1,850,541,143,114,80473,12335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2442,1,1304,28,353,21,2543,146,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,1576,6512,455,1028,2649,223,92,6645,625,5727,9,2613,585,7948,0,0,0,0,0,0,0,0,0,0,0
3800,0,1,1,40,2402,364,121,256,585,79,5,1599,1,2581,0,0,0,0,0,0,0,0,0,0,0,0
2706,0,247,431,1576,15,38,1477,167,4536,216,73788,288,6419,2043,8707,557,57167,931,73788,43908,0,0,0,0,0,0
4102,1,71181,6645,38,5984,1,150,14968,49411,886,1859,40,1,14,441,696,1,0,0,0,0,0,0,0,0,0
2552,1,1,259,615,60,1593,60,5727,1184,5,4346,1028,344,327,26,21,60,10635,276,154,230,349,0,0,0,0
1345,1,42083,21772,628,10009,30,331,25190,1118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4411,0,743,32562,2718,244,371,1,1,1,15646,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0,0
2042,0,1,850,552,552,1387,2903,48,154,541,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,0,4458,54754,4852,526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2948,0,1,1101,5460,2,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,1,875,3698,220,2,181,7363,1,275,2,4,151,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,1576,375,1,114,2017,15,2649,213,5,1,832,905,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,0,1,541,5772,5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4629,0,4825,710,1,55,1,2081,1930,1055,19029,1510,255,7499,377,1479,1,14,441,696,1,0,0,0,0,0,0
252,1,1,1,6,178,341,1862,73611,11246,1222,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3119,1,63900,198,39,8930,2426,19117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,1,9696,4933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,1,1576,23559,3171,333,928,37,111,2215,350,120,33068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3651,0,2,541,111,13918,21954,28801,541,193,1479,5277,377,77148,415,1568,619,224,5277,1272,0,0,0,0,0,0,0
1747,1,1,2,1342,119,23,936,1178,22,2216,176,131,51,10987,398,3096,18,0,0,0,0,0,0,0,0,0
677,1,1,216,377,640,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,1,14375,86,951,45590,3872,1,242,5463,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3982,0,8,101,597,5,12335,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,1,178,1741,28,8,592,4017,45590,1,38,592,1,5850,20574,4694,1,0,0,0,0,0,0,0,0,0,0
4421,1,1,28679,1392,3680,203,2362,92,20725,74,1,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0
3137,1,6512,1,1,1,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3838,1,36314,352,11170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295,0,1,4573,142,198,4458,875,1109,2654,2859,292,364,853,0,0,0,0,0,0,0,0,0,0,0,0,0
